"Skill_id","Level_id","Question_number","Question","Option_A","Option_B","Option_C","Option_D","Correct_answer","QuestionID"
"sk01","l4","4","Employees clean frequently, but waste bins are not emptied regularly. What type of issue is this?","Cleanliness masking","Partial Shine failure","Visual imbalance","Waste reduction conflict","B","sk01_l4_4"
"sk01","l4","5","Cleaning tools are stored far from the zones they’re needed. What impact does this create?","Reduced tool maintenance","Delays and resistance in Shine activities","Enhanced storage safety","Better inventory control","B","sk01_l4_5"
"sk01","l4","6","Cleaning activities are outsourced, but internal staff are unaware of schedules. What risk does this create?","Redundant inspection","Poor Shine ownership","Cleaner specialization","Higher cleanliness levels","B","sk01_l4_6"
"sk01","l4","7","Employees clean machinery daily, but there's no record of who did what. What’s the missing element?","Responsibility assignment","Sanitization strategy","Documentation procedure","Visual mapping","A","sk01_l4_7"
"sk01","l4","8","Cleaning is assigned, but no one verifies if it was done correctly. What does this indicate?","High trust","Breakdown in Shine accountability","Time optimization","Visual hierarchy","D","sk01_l4_8"
"sk01","l4","9","Tools are returned to storage, but their exact locations change frequently. What’s the likely consequence?","Reduces training time","Enhances flexibility","Slows retrieval and causes confusion","Encourages problem solving","A","sk01_l4_9"
"sk01","l4","10","A department stores frequently accessed files in locked cabinets far from workstations. What principle is being violated?","Promotes security","Encourages filing discipline","Increases access delays","Enables team independence","A","sk01_l4_10"
"sk01","l4","11","A monthly review is conducted, but feedback from the floor team is excluded. What’s being overlooked?","Formal escalation","Corrective actions","Inclusive sustainment","Hierarchy management","A","sk01_l4_11"
"sk01","l4","12","A tool rack has outlines for each item, but several items are regularly found elsewhere. What’s being compromised?","Standard adherence","Creativity","Inventory size","Productivity speed","B","sk01_l4_12"
"sk01","l4","13","High-use equipment is regularly cleaned, but hidden connectors accumulate grime. What gap exists?","Over-cleaning of visible areas","Surface vs. component-level Shine","Material shortage","Tool resizing","C","sk01_l4_13"
"sk01","l4","14","Employees complete 5S checklists, but managers don’t review them. What’s the risk?","Autonomy increase","Checklists become ceremonial","Enhanced trust","Reduced paperwork","B","sk01_l4_14"
"sk01","l4","15","An area has clearly defined zones, but staff still store items wherever convenient. What must be addressed?","Zone flexibility","Reinforcement of storage discipline","Label placement","Tool color","D","sk01_l4_15"
"sk01","l4","16","Staff resist removing outdated materials due to sentimental attachment. What 5S risk does this cause?","Organizational pride","Historical reference benefit","Workflow inefficiency","Better collaboration","A","sk01_l4_16"
"sk01","l4","17","Employees complete audits faster by copying old entries. What does this signal?","Operational efficiency","Audit overload fatigue","Time-saving standard","Technical acumen","D","sk01_l4_17"
"sk01","l4","18","Labels are printed using shorthand codes no longer explained in current documentation. What effect could this have?","Faster label printing","Compliance bonus","Breakdown in shared understanding","Reduced material waste","D","sk01_l4_18"
"sk01","l4","19","Cleaning is done daily, but there is no process to escalate defects found. What is the gap in implementation?","Set in Order failure","Lack of maintenance triggers","Efficient housekeeping","Tool fatigue","A","sk01_l4_19"
"sk01","l4","20","Floor markings are worn and unclear, but not repainted due to “low priority.” What does this indicate?","Budget efficiency","Prioritization skills","Neglect of visual order","Streamlined layout","B","sk01_l4_20"
"sk01","l4","21","New layouts are introduced without trial runs or pilot feedback. What risk is introduced?","Color blindness in signage","Ergonomic overdesign","Resistance and hidden inefficiencies","Documentation errors","C","sk01_l4_21"
"sk01","l4","22","Employees frequently ask for cleaning supplies despite full stock in designated areas. What could solve this?","Replace cleaning tools","Enhance tool visibility and access","Redesign audit checklist","Increase supply budget","D","sk01_l4_22"
"sk01","l4","23","Standard work instructions are documented, but rarely referenced during operations. What does this suggest?","Overreliance on intuition","Strong memory retention","Poor integration into workflow","Excellent informal training","B","sk01_l4_23"
"sk01","l4","24","A facility uses multiple formats for labeling the same item type. What problem does this cause?","Visual noise","Label fatigue","Loss of granularity","Inventory increase","B","sk01_l4_24"
"sk01","l4","25","Employees skip checklist items they believe are “not relevant” to their area. What failure does this reflect?","Lack of checklist clarity","Over-documentation","Team micromanagement","High workload","C","sk01_l4_25"
"sk01","l4","26","Frequently used tools are stored above head height for space optimization. What’s the tradeoff?","Faster access","Safety and ergonomics compromised","Encourages upward gaze","Creates more workspace","A","sk01_l4_26"
"sk01","l4","27","Employees stack cleaned items without verifying their condition. What flaw does this process have?","Over-documentation","Missed defect detection","Time efficiency","Standardized layout","B","sk01_l4_27"
"sk01","l4","28","A redesign improved efficiency, but no one updated the 5S visuals. What’s the expected impact?","Misleading visual guidance","Greater consistency","Easier audit prep","Cross-training support","D","sk01_l4_28"
"sk01","l4","29","Management praises 5S adherence but allocates no budget for maintenance supplies. What is likely to fail?","Visual control","Resource-based sustainment","Performance evaluation","Document retention","A","sk01_l4_29"
"sk01","l4","30","An employee creates a personal sorting method that’s faster but undocumented. What could this lead to?","Recognition of innovation","Risk of non-standard operation","Better productivity sharing","Stronger team cohesion","C","sk01_l4_30"
"sk01","l4","31","A visual SOP is posted at the workstation, but employees still use verbal instructions. What does this indicate?","Clear visual hierarchy","Failure in standardization adoption","Strong interpersonal training","Priority to legacy knowledge","A","sk01_l4_31"
"sk01","l4","32","Some items are both tagged for removal and marked for urgent use. What should be corrected first?","Tagging authority","Label color coding","Sort review and decision clarity","User permissions","B","sk01_l4_32"
"sk01","l4","33","The layout includes shadow boards, but no one is trained to recognize missing tools. What is missing?","Technology integration","Visual literacy and culture","Measurement scale","Inventory overstock","D","sk01_l4_33"
"sk01","l4","34","A Shine audit checklist is used, but items are checked without actual inspection. What failure does this represent?","Checklist fatigue","False compliance","Equipment overuse","Maintenance overload","B","sk01_l4_34"
"sk01","l4","35","An audit report notes “visual tools missing,” but staff say they were never trained on them. What went wrong?","Improper documentation","Lack of visual literacy training","Excessive tool dependency","Frequent layout change","D","sk01_l4_35"
"sk01","l4","36","Despite initial setup, tool locations lack clear labels and markings. What will this likely affect?","Employee autonomy","Visual cues for efficiency","Documentation access","Storage cost","A","sk01_l4_36"
"sk01","l4","37","Different areas define “clean” to varying levels of detail. What is missing from implementation?","Standardized definition and metrics","Overhead planning","Color uniformity","Visual layout","C","sk01_l4_37"
"sk01","l4","38","Cleaning logs show all tasks completed, but random inspections reveal missed spots. What’s the likely issue?","Staff turnover","Ineffective tools","False compliance in Shine","Space constraints","C","sk01_l4_38"
"sk01","l4","39","5S visuals are only in English, though 30% of staff prefer regional language. What is overlooked?","Linguistic bias","Effective communication","Personalization strategy","SOP formatting","B","sk01_l4_39"
"sk01","l4","40","Employees follow SOPs but do not understand their purpose. What is the risk here?","Misuse of SOPs","Overstandardization","Superficial compliance without awareness","Increased adaptability","A","sk01_l4_40"
"sk01","l4","41","A workspace redesign improved layout, but no formal assessment was done post-change. What 5S step was skipped?","Sustain","Shine","Evaluate and standardize","Sort","B","sk01_l4_41"
"sk01","l4","42","Tools are consistently labeled, but some labels use abbreviations only known to experienced staff. What is being affected?","Ergonomics","Universal comprehension","Color contrast","Audit frequency","B","sk01_l4_42"
"sk01","l4","43","Process documentation is updated, but old formats are still in use in some teams. What issue is arising?","Training consistency","Dual compliance advantage","Standardization failure","Redundancy planning","A","sk01_l4_43"
"sk01","l4","44","Teams conduct 5S activities but only during audits. What cultural issue is this?","Overdependence on checklists","Ritualistic compliance mindset","Positive reinforcement gap","Inter-department isolation","D","sk01_l4_44"
"sk01","l4","45","5S practices are implemented, but new employees receive no onboarding. What is most likely to happen?","System scales independently","Initial momentum fades","New ideas improve flow","Team spirit strengthens","B","sk01_l4_45"
"sk01","l4","46","Cleaning materials are frequently missing or unavailable. What fundamental issue does this expose?","Material requisition delay","Failure in Shine support infrastructure","Lack of training","Budget misallocation","A","sk01_l4_46"
"sk01","l4","47","Operators complete their 5S tasks, but contractors are unaware of those procedures. What does this gap reflect?","External scope exclusion","Poor cross-team standardization","Compliance prioritization","Efficient role separation","D","sk01_l4_47"
"sk01","l4","48","Visual SOP boards are well-designed, but are mounted behind equipment. What’s the core issue here?","Format inconsistency","Visibility and accessibility","Language barrier","Cluttered design","B","sk01_l4_48"
"sk01","l4","49","Obsolete equipment is left in a corner “for training purposes” but never used. What 5S step is being bypassed?","Shine","Sustain","Sort","Standardize","C","sk01_l4_49"
"sk01","l4","50","Expired chemicals are clearly marked but not removed. What does this show?","Good tracking of items","Partial execution of sorting","Overdependence on labels","Visual strategy in action","A","sk01_l4_50"
"sk01","l4","51","Cleaning agents used in the Shine phase are not suitable for the surface material. What’s the primary risk?","Faster drying time","Visual enhancement","Equipment degradation","Disinfectant overuse","A","sk01_l4_51"
"sk01","l4","52","A company initiates 5S but fails to revisit procedures after six months. What’s being neglected?","Visual management","Sustainment practice","Sort methodology","Daily auditing","A","sk01_l4_52"
"sk01","l4","53","During 5S training, visuals are clear, but hands-on practice is missing. What effect can this have?","Increased memory retention","Strong theoretical understanding","Weak implementation consistency","Better policy enforcement","A","sk01_l4_53"
"sk01","l4","54","In one unit, tool carts are used; in another, wall hooks are preferred. There’s no documented reason. What’s missing?","Spatial variety","Standardization logic","Cross-functional consensus","Creativity","B","sk01_l4_54"
"sk01","l4","55","Supervisors stop enforcing visual audits as workload increases. What long-term risk does this pose?","5S becomes self-driven","System collapse","Reduced productivity","Loss of team initiative","A","sk01_l4_55"
"sk01","l4","56","Staff continue using an outdated layout out of habit, despite recent improvements. What’s being missed?","Resistance to change","Enhanced familiarity","Reduced walking time","Improved morale","D","sk01_l4_56"
"sk01","l4","57","Cleaning is performed, but signs of leaks and damage are overlooked. Which 5S step is weak?","Standardize","Shine","Set in Order","Sustain","A","sk01_l4_57"
"sk01","l4","58","Standard operating procedures are documented but not aligned with actual day-to-day practice. What is the consequence?","Accurate training","Visual tracking","Disconnected systems","Reduced audit needs","C","sk01_l4_58"
"sk01","l4","59","Supervisors change SOPs without informing operators. What could result?","Faster execution","Team empowerment","Process deviations","Increased productivity","B","sk01_l4_59"
"sk01","l4","60","Signage in a workspace uses multiple font styles and sizes. What might this lead to?","Visual noise and miscommunication","Creative expression","Improved retention","Easier SOP writing","D","sk01_l4_60"
"sk01","l4","61","Teams clean their own areas, but no standard timing or duration is defined. What could this lead to?","Micro-management","Overcleaning","Inconsistent Shine outcomes","Less team bonding","C","sk01_l4_61"
"sk01","l4","62","A checklist item reads “Area tidy,” which staff interpret differently. What is the best fix?","Add images and clear criteria","Translate checklist","Remove subjective checks","Increase supervisor review","D","sk01_l4_62"
"sk01","l4","63","A workplace removes outdated files monthly but doesn’t record what was removed. What improvement could be made?","Add barcode system","Introduce waste volume reports","Implement tracking and audit trail","Automate the archive","C","sk01_l4_63"
"sk01","l4","64","Standardized workstations are implemented, but changes are not updated in SOPs. What risk arises?","Duplication of tasks","Misalignment of practices","Workforce resistance","Time-saving shortcuts","B","sk01_l4_64"
"sk01","l4","65","Tools are organized by department rather than by frequency of use. What inefficiency may result?","Excess equipment wear","Delayed tool access","High training cost","Overstandardization","C","sk01_l4_65"
"sk01","l4","66","Tools are sorted and labeled but moved frequently without notification. What aspect is compromised?","Floor space","Visual guidance accuracy","Cross-training","Waste control","C","sk01_l4_66"
"sk01","l4","67","A team keeps outdated tags on removed items to track history. What is the risk?","Visual misinterpretation","Legal compliance","Redundancy tracking","Ergonomic confusion","B","sk01_l4_67"
"sk01","l4","68","The 5S champion role rotates weekly, leading to inconsistency in practice. What is the best improvement?","Add more signage","Delegate to HR","Establish role continuity","Increase rotation speed","C","sk01_l4_68"
"sk01","l4","69","5S visuals are accurate, but the layout is cluttered and hard to scan. What principle is undermined?","Ergonomic balance","Clarity in visual management","Departmental zoning","Organizational memory","C","sk01_l4_69"
"sk01","l4","70","Operators follow 5S well, but visitors consistently disrupt the flow. What’s the solution?","Add 5S orientation for visitors","Restrict outsider access","Assign guides full-time","Increase signage size","D","sk01_l4_70"
"sk01","l4","71","A team complies with Shine but sees it only as a cleaning task. What deeper aspect is being overlooked?","Waste sorting","Continuous inspection for abnormality","Time optimization","Staff turnover","D","sk01_l4_71"
"sk01","l4","72","During audits, the focus is solely on cleanliness, not orderliness. What’s being compromised?","Ergonomics","Shine scope","Holistic evaluation","Safety audit","B","sk01_l4_72"
"sk01","l4","73","Supervisors alter checklist items to suit inspection timing. What is the deeper issue here?","Authority misuse","Weak audit integrity","Role clarification gaps","Workforce adaptability","C","sk01_l4_73"
"sk01","l4","74","Visual maps of material flow exist but are outdated and not used in decision-making. What is this an example of?","Strategic misplacement","Outdated reference material","Passive standardization","Cosmetic visual control","B","sk01_l4_74"
"sk01","l4","75","The same team handles both 5S maintenance and process improvement tasks. What risk exists?","Workflow synergy","Priority confusion and overload","Higher accountability","Efficiency gain","D","sk01_l4_75"
"sk01","l4","76","In storage zones, frequently used tools are placed at the back to maintain visual aesthetics. What principle is violated?","Cleanliness","Accessibility over appearance","SOP accuracy","Workforce equality","C","sk01_l4_76"
"sk01","l4","77","Visual controls are installed in a high-glare area where they're unreadable in sunlight. What’s the core issue?","Improper material selection","Improper positioning reducing effectiveness","Color code mismatch","Excessive SOP layering","D","sk01_l4_77"
"sk01","l4","78","Old reports are neatly stacked in open areas to show history. What is the downside?","Promotes learning culture","Enhances accessibility","Occupies useful workspace","Improves compliance","B","sk01_l4_78"
"sk01","l4","79","A company applies 5S perfectly at its headquarters, but branch locations lag behind. What’s missing?","Site-level customizations","Uniform deployment strategy","Leadership hierarchy","Role rotation plan","D","sk01_l4_79"
"sk01","l4","80","Multiple departments interpret “Set in Order” differently and implement unique versions. What issue arises?","Cross-functional learning","Localization benefit","Fragmented application of 5S","Team empowerment","C","sk01_l4_80"
"sk01","l4","81","Team members resist using labeled zones, preferring personalized setups. What must be addressed first?","SOP formatting","Employee buy-in to standardization","Color-coding logic","Visual clutter","C","sk01_l4_81"
"sk01","l4","82","A machine area is marked for Shine checks but lacks easy access tools. What practical barrier exists?","Lack of process clarity","Accessibility failure in Shine","Excess tool tracking","Material mismatch","D","sk01_l4_82"
"sk01","l4","83","Teams follow 5S diligently, but no time is allocated for improvements. What 5S value is underutilized?","Sustain","Set in Order","Continuous improvement","Standardize","B","sk01_l4_83"
"sk01","l4","84","Visual controls are added everywhere, but clutter makes them hard to notice. What principle is being ignored?","Color psychology","Visual noise reduction","Documentation layering","Continuous improvement","B","sk01_l4_84"
"sk01","l4","85","A cleaning checklist is followed irregularly and lacks assigned responsibilities. What’s the likely outcome?","Team morale improves","Cleanliness becomes inconsistent","More time for core tasks","Enhanced team flexibility","A","sk01_l4_85"
"sk01","l4","86","Some areas follow digital checklists, while others use paper-based ones without reason. What is the likely consequence?","Better digital literacy","Data inconsistency and confusion","Higher engagement","Reduced printing cost","C","sk01_l4_86"
"sk01","l4","87","While sorting, several tools of unknown purpose are found. The team decides to keep them 'just in case.' What does this reflect?","Proactive planning","Failure to eliminate waste","Value-added mindset","Preventive backup culture","A","sk01_l4_87"
"sk01","l4","88","Employees across shifts follow different tool placement rules. What impact does this have?","Encourages creativity","Reduces downtime","Improves flexibility","Creates confusion","A","sk01_l4_88"
"sk01","l4","89","Color codes for storage bins are changed frequently based on availability. What effect might this have?","Improved color diversity","Confused visual guidance","Flexibility in design","Storage efficiency","A","sk01_l4_89"
"sk01","l4","90","Monthly feedback on 5S is collected, but no action is taken. What impact does this have?","Improved data management","Declining staff trust and engagement","Faster meetings","Reduced complaints","D","sk01_l4_90"
"sk01","l4","91","All tools are sorted properly, but some have redundant functions. What should be done?","Keep extras as backup","Eliminate duplicates to reduce waste","Color them differently","Assign them to different teams","D","sk01_l4_91"
"sk01","l4","92","Checklist items are evaluated based on visual review only, without physical verification. What is being compromised?","SOP literacy","Audit credibility","Document retention","Waste identification","C","sk01_l4_92"
"sk01","l4","93","A department passes its 5S audit but fails to meet production targets. What might be the root cause?","Excessive focus on appearance over function","Lack of visual aids","Sorting irregularities","Infrequent audits","D","sk01_l4_93"
"sk01","l4","94","The same color is used for waste bins and recycling bins. What issue does this cause?","Time-saving visuals","Color misassociation and misuse","Better matching with decor","Label dependency","D","sk01_l4_94"
"sk01","l4","95","A production team standardizes equipment layout, but shifts regularly modify positions based on personal comfort. What is the risk?","Promotes innovation","Disrupts standardization integrity","Increases collaboration","Balances user needs","A","sk01_l4_95"
"sk01","l4","96","A facility achieves 5S compliance during audits but quickly reverts afterward. What does this suggest?","Sustainable behavior","Auditing rigor","Superficial implementation","Visual fatigue","C","sk01_l4_96"
"sk01","l4","97","Several duplicate tools are found at multiple stations without tracking. What principle is being ignored?","Ownership accountability","Visual control","Inventory rationalization","Clean zone boundary","C","sk01_l4_97"
"sk01","l4","98","Staff claim 5S audits are disruptive and avoid participating. What is most likely lacking?","Adequate equipment","Sustained motivation and ownership","Clear audit criteria","Efficient tools","A","sk01_l4_98"
"sk01","l4","99","Shine reports show 100% compliance, but complaints about odor persist. What might be missed?","Hidden leak inspections","Focused ventilation checks","Overuse of cleaning agents","Scent documentation","D","sk01_l4_99"
"sk01","l4","100","Employees request changes to visual controls, but no process exists to evaluate suggestions. What is lacking?","Feedback loop in sustainment","SOP creation","Standard audit plan","Sort criteria","C","sk01_l4_100"
"sk02","l2","1","लंबी वस्तु को दोनों हाथों से उठाना क्यों ज़रूरी है?","पेशेवर दिखने के लिए","संतुलन बनाए रखने और दूसरों को चोट से बचाने के लिए","शक्ति दिखाने के लिए","जल्दी काम खत्म करने के लिए","B","sk02_l2_1"
"sk02","l2","2","उपकरणों को चिन्हित स्थानों पर रखना क्यों ज़रूरी है?","क्षेत्र को साफ-सुथरा दिखाने के लिए","उपकरण आसानी से ढूंढने और वापस रखने के लिए","मेहमानों को प्रभावित करने के लिए","कागज़ी काम कम करने के लिए","C","sk02_l2_2"
"sk02","l2","3","दोहराए जाने वाले कार्य से होने वाली चोटों से कैसे बचा जा सकता है?","नियमित ब्रेक लें और सही मुद्रा रखें","बहुत तेज़ काम करें","असुविधा को अनदेखा करें","सिर्फ़ एक हाथ का उपयोग करें","A","sk02_l2_3"
"sk02","l2","4","कार्यस्थल पर आपातकालीन संपर्क नंबर दिखाई देना क्यों ज़रूरी है?","सजावट के लिए","आपात स्थिति में त्वरित प्रतिक्रिया के लिए","कंपनी नीति का पालन करने के लिए","मेहमानों को प्रभावित करने के लिए","B","sk02_l2_4"
"sk02","l2","5","कार्य क्षेत्र को अव्यवस्था से मुक्त क्यों रखना चाहिए?","यह बेहतर दिखता है","यह फिसलने, ठोकर लगने और गिरने से बचाता है","यह सफाई का समय बचाता है","यह आगंतुकों के लिए अच्छा है","B","sk02_l2_5"
"sk02","l2","6","सुनिश्चित करने के लिए कि उपकरण हमेशा उपलब्ध और अच्छी स्थिति में रहें, सबसे अच्छा तरीका क्या है?","कोई भी कभी भी ले सकता है","उपकरणों को लेबल लगे स्थान पर रखें और नियमित रूप से निरीक्षण करें","उपकरणों को हमेशा लॉक में रखें","केवल टूटने पर बदलें","D","sk02_l2_6"
"sk02","l2","7","मशीन गार्ड्स का उपयोग क्यों ज़रूरी है?","वे मशीन को गंदा दिखाते हैं","वे काम को धीमा करते हैं","वे उपयोगकर्ता को चलते हिस्सों से बचाते हैं","उन्हें बदलना कठिन है","C","sk02_l2_7"
"sk02","l2","8","अगर आपको किसी उपकरण का उपयोग करना नहीं आता तो क्या करना चाहिए?","अनुमान लगाकर उपयोग करें","निर्देश या प्रशिक्षण लें","किसी और के उपयोग करने का इंतजार करें","सिर्फ़ ब्रेक में इस्तेमाल करें","A","sk02_l2_8"
"sk02","l2","9","जाँचे गए और अस्वीकृत सामग्री को क्यों नहीं मिलाना चाहिए?","यह समय बचाता है","यह भ्रम और गुणवत्ता की समस्या से बचाता है","यह बेहतर दिखता है","यह ऑडिट में मदद करता है","C","sk02_l2_9"
"sk02","l2","10","अगर किसी मशीन से तेज़ जलने की गंध आ रही हो तो सही कार्रवाई क्या है?","नज़रअंदाज़ करें और काम पूरा करें","मशीन पर तुरंत पानी डालें","मशीन को रोकें और अपने सुपरवाइज़र को बताएं","खिड़कियाँ खोलें और काम जारी रखें","C","sk02_l2_10"
"sk02","l2","11","अगर आपातकालीन निकास अवरुद्ध हो तो सही कार्रवाई क्या है?","रुकावट हटाएँ या तुरंत रिपोर्ट करें","अन्य निकास उपलब्ध हैं, अनदेखा करें","केवल आपातकाल में उपयोग करें","किसी और के हटाने का इंतजार करें","A","sk02_l2_11"
"sk02","l2","12","हैंड टूल्स का नियमित निरीक्षण क्यों ज़रूरी है?","उन्हें चमकदार रखने के लिए","सुनिश्चित करने के लिए कि वे सुरक्षित और कार्यशील हैं","कागज़ी काम कम करने के लिए","शेयरिंग से बचने के लिए","D","sk02_l2_12"
"sk02","l2","13","अगर आपको कोई सुरक्षा निर्देश समझ न आए तो क्या करना चाहिए?","अनदेखा करें और काम जारी रखें","अपने सुपरवाइज़र या सुरक्षा अधिकारी से स्पष्टीकरण माँगें","अनुमान लगाएँ","किसी सहकर्मी के समझाने का इंतजार करें","A","sk02_l2_13"
"sk02","l2","14","मशीन इंटरलॉक या सेफ्टी स्विच को कभी बायपास क्यों नहीं करना चाहिए?","यह समय बचाता है","आपातकाल में अनुमति है","यह गंभीर चोट या नुकसान कर सकता है","यह मशीन को तेज़ चलाता है","D","sk02_l2_14"
"sk02","l2","15","रास्ते और फर्श को सूखा और तेल रहित क्यों रखना चाहिए?","साफ करने में आसानी के लिए","फिसलने और गिरने से बचाव के लिए","साफ करने की लागत कम करने के लिए","प्रकाश बेहतर करने के लिए","B","sk02_l2_15"
"sk02","l2","16","हैंड टूल्स का नियमित निरीक्षण क्यों ज़रूरी है?","उन्हें चमकदार रखने के लिए","सुनिश्चित करने के लिए कि वे सुरक्षित और कार्यशील हैं","कागज़ी काम कम करने के लिए","शेयरिंग से बचने के लिए","B","sk02_l2_16"
"sk02","l2","17","किसी केमिकल का उपयोग करने से पहले Safety Data Sheet (SDS) क्यों पढ़ना चाहिए?","उसकी कीमत जानने के लिए","उसका रंग जानने के लिए","खतरों और सुरक्षित हैंडलिंग को समझने के लिए","किसने सप्लाई किया यह जानने के लिए","C","sk02_l2_17"
"sk02","l2","18","वर्कशॉप में आँखों की चोट से बचने का सबसे अच्छा तरीका क्या है?","सेफ्टी गॉगल्स या फेस शील्ड पहनें","तेज़ी से काम करें","मशीन से दूर देखें","सिर्फ़ धूप का चश्मा पहनें","A","sk02_l2_18"
"sk02","l2","19","टूटी हुई एक्सटेंशन कॉर्ड का उपयोग क्यों नहीं करना चाहिए?","वे सस्ती होती हैं","वे पुरानी दिखती हैं","वे बिजली का झटका या आग लगा सकती हैं","वे बहुत छोटी होती हैं","D","sk02_l2_19"
"sk02","l2","20","कार्य क्षेत्र को अव्यवस्था से मुक्त क्यों रखना चाहिए?","यह बेहतर दिखता है","यह फिसलने, ठोकर लगने और गिरने से बचाता है","यह सफाई का समय बचाता है","यह आगंतुकों के लिए अच्छा है","D","sk02_l2_20"
"sk02","l2","21","अगर काम करते समय मामूली कट लगे तो सबसे पहले क्या करें?","अनदेखा करें और काम जारी रखें","घाव को तुरंत धोकर साफ करें","सुपरवाइज़र के नोटिस का इंतजार करें","सहकर्मी से सलाह लें","B","sk02_l2_21"
"sk02","l2","22","अगर क्षेत्र में केमिकल गिर जाए तो सबसे पहले क्या करें?","खुद तुरंत साफ करें","अपने सुपरवाइज़र को रिपोर्ट करें","अगर छोटा है तो अनदेखा करें","सभी खिड़कियाँ और दरवाजे खोलें","B","sk02_l2_22"
"sk02","l2","23","गीले फर्श पर फिसलने से कैसे बचें?","तेज़ चलें","गीले क्षेत्र को अनदेखा करें","चेतावनी संकेत लगाएँ और तुरंत साफ करें","खुली चप्पल पहनें","C","sk02_l2_23"
"sk02","l2","24","Maintenance से पहले lockout/tagout प्रक्रिया क्यों अपनाएँ?","समय बचाने के लिए","दुर्घटनावश मशीन चालू होने से बचाव के लिए","प्रबंधन को प्रभावित करने के लिए","रिकॉर्ड रखने के लिए","B","sk02_l2_24"
"sk02","l2","25","प्रोडक्शन या असेंबली क्षेत्र में खाना-पीना क्यों नहीं चाहिए?","समय बचाने के लिए","यह संदूषण और स्वास्थ्य जोखिम बढ़ाता है","ब्रेक में खाना-पीना ठीक है","यह क्षेत्र शांत रखता है","B","sk02_l2_25"
"sk02","l2","26","सीढ़ी का उपयोग करने से पहले सबसे पहले क्या देखना चाहिए?","क्या वह पर्याप्त ऊँची है","क्या वह स्थिर और बिना नुकसान के है","क्या वह नई है","क्या वह रंगी हुई है","A","sk02_l2_26"
"sk02","l2","27","आपातकालीन निकास को कार्यशील कैसे रखें?","सुरक्षित रखने के लिए लॉक करें","स्टोरेज के लिए उपयोग करें","निकास को साफ और नियमित रूप से जांचें","उसे चमकीले रंग से पेंट करें","A","sk02_l2_27"
"sk02","l2","28","Safety Data Sheet (SDS) क्यों पढ़ना चाहिए?","कीमत जानने के लिए","रंग जानने के लिए","खतरों और सुरक्षित हैंडलिंग को समझने के लिए","किसने सप्लाई किया यह जानने के लिए","C","sk02_l2_28"
"sk02","l2","29","अगर प्रोडक्शन एरिया में कोई खाना-पीना करता है तो क्या जोखिम है?","समय बचता है","संदूषण और स्वास्थ्य जोखिम बढ़ता है","ब्रेक में खाना-पीना ठीक है","यह क्षेत्र शांत रहता है","D","sk02_l2_29"
"sk02","l2","30","कार्यस्थल में अच्छी लाइटिंग क्यों ज़रूरी है?","बिजली बचाने के लिए","आंखों पर जोर और दुर्घटनाओं से बचाव के लिए","क्षेत्र बड़ा दिखता है","मशीनें तेज़ चलती हैं","B","sk02_l2_30"
"sk02","l2","31","रास्ते और निकास को साफ क्यों रखना चाहिए?","साफ करने में आसानी के लिए","जल्दी और सुरक्षित निकासी के लिए","अतिरिक्त सामग्री स्टोर करने के लिए","प्रदर्शन के लिए","B","sk02_l2_31"
"sk02","l2","32","अगर केमिकल त्वचा पर गिर जाए तो क्या करें?","सूखने दें","इलाके को तुरंत पानी से धोएं और मेडिकल सहायता लें","कपड़े से ढकें और काम करें","अनदेखा करें जब तक दर्द न हो","B","sk02_l2_32"
"sk02","l2","33","सुरक्षा खतरा कब रिपोर्ट करना चाहिए?","सिर्फ़ दुर्घटना के बाद","जैसे ही दिखे तुरंत","शिफ्ट के अंत में","सिर्फ़ सुपरवाइज़र के कहने पर","B","sk02_l2_33"
"sk02","l2","34","उपकरण हमेशा उपलब्ध और अच्छी स्थिति में कैसे रखें?","कोई भी कभी भी ले सकता है","लेबल लगे स्थान पर रखें और नियमित निरीक्षण करें","हमेशा लॉक में रखें","केवल टूटने पर बदलें","B","sk02_l2_34"
"sk02","l2","35","हैंड टूल्स का उपयोग करने से पहले क्या देखना चाहिए?","उसका रंग","क्या वह नया है","क्या वह साफ और बिना नुकसान के है","क्या वह भारी है","C","sk02_l2_35"
"sk02","l2","36","इलेक्ट्रिकल डिवाइस को सुरक्षित तरीके से कैसे अनप्लग करें?","तार को जल्दी खींचें","प्लग को पकड़कर निकालें","गीले हाथों से निकालें","किसी और से करवाएँ","B","sk02_l2_36"
"sk02","l2","37","अगर आप किसी घटना के करीब से बच गए (near-miss), तो क्या करें?","अगर कोई घायल नहीं हुआ तो अनदेखा करें","तुरंत रिपोर्ट करें ताकि सुधार हो सके","अगली सेफ्टी मीटिंग तक इंतजार करें","सिर्फ़ दोस्तों को बताएं","B","sk02_l2_37"
"sk02","l2","38","जाँचे गए और अस्वीकृत मटेरियल को क्यों न मिलाएँ?","समय बचाने के लिए","यह भ्रम और गुणवत्ता की समस्या से बचाता है","अच्छा दिखता है","यह ऑडिट में मदद करता है","C","sk02_l2_38"
"sk02","l2","39","हैंड टूल्स का उपयोग करने से पहले क्या देखना चाहिए?","उसका रंग","क्या वह नया है","क्या वह साफ और बिना नुकसान के है","क्या वह भारी है","A","sk02_l2_39"
